# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
6.136627112519924e+00,3.660039960346050e-03,3.112937260982847e-03,9.986633412083757e-04,1.979333737614382e-05,0.000000000000000e+00,3.155269852239269e-06,2.304194164529024e-06,5.537189808732852e-07,2.604363376748622e-07,0.000000000000000e+00
6.250946279134343e+00,3.585524978428945e-03,3.048697254613323e-03,9.784546231767863e-04,1.938789888300855e-05,0.000000000000000e+00,3.096821198291679e-06,2.259566461915520e-06,5.428514274425714e-07,2.550639745375635e-07,0.000000000000000e+00
6.367395096388402e+00,3.512452873202947e-03,2.985934730872121e-03,9.586229346201493e-04,1.898939828338911e-05,0.000000000000000e+00,3.039441640966178e-06,2.215767755786361e-06,5.321854241039395e-07,2.497913723616064e-07,0.000000000000000e+00
6.486013237523093e+00,3.440594768173456e-03,2.924240423503434e-03,9.391613896402121e-04,1.859856700375102e-05,0.000000000000000e+00,2.983111631471431e-06,2.172782878745178e-06,5.217173407450358e-07,2.446109145873068e-07,0.000000000000000e+00
6.606841114851825e+00,3.370181375209334e-03,2.863548580302690e-03,9.200632304093298e-04,1.822523695251195e-05,0.000000000000000e+00,2.927811978589001e-06,2.130596940666261e-06,5.114436312615527e-07,2.395355505774073e-07,0.000000000000000e+00
6.729919893528600e+00,3.301133244458600e-03,2.804254814017927e-03,9.013218244201558e-04,1.784074407606547e-05,0.000000000000000e+00,2.873523842135024e-06,2.089195323621791e-06,5.013607960961759e-07,2.345545979466527e-07,0.000000000000000e+00
6.855291505572673e+00,3.233233989951892e-03,2.745972100395253e-03,8.829306639682655e-04,1.747304668528643e-05,0.000000000000000e+00,2.820228726541503e-06,2.048563676901827e-06,4.914654139950803e-07,2.296608472311002e-07,0.000000000000000e+00
6.982998664154476e+00,3.166701746681426e-03,2.688638220315573e-03,8.648833623427480e-04,1.711208503377440e-05,0.000000000000000e+00,2.767908474554988e-06,2.008687912125334e-06,4.817541240909149e-07,2.248665417509227e-07,0.000000000000000e+00
7.113084878147676e+00,3.101461286868367e-03,2.632627242734905e-03,8.471736549708365e-04,1.675800998016669e-05,0.000000000000000e+00,2.716545261050530e-06,1.969554198440587e-06,4.722236079857204e-07,2.201615804241587e-07,0.000000000000000e+00
7.245594466952324e+00,3.037308019298239e-03,2.577573230337539e-03,8.297953940412462e-04,1.641095196474085e-05,0.000000000000000e+00,2.666121586958786e-06,1.931148957813331e-06,4.628706518616169e-07,2.155391393833835e-07,0.000000000000000e+00
7.380572575594140e+00,2.974448183884736e-03,2.523417286454577e-03,8.127425499611638e-04,1.607688258695069e-05,0.000000000000000e+00,2.616620273304212e-06,1.893458860401072e-06,4.536920431716546e-07,2.110107941716281e-07,0.000000000000000e+00
7.518065190105092e+00,2.912810558678364e-03,2.470513057973459e-03,7.960092076489566e-04,1.573841887335744e-05,0.000000000000000e+00,2.568024455352295e-06,1.856470820011944e-06,4.446846752589189e-07,2.065669942873488e-07,0.000000000000000e+00
7.658119153190484e+00,2.852201737434835e-03,2.418514553038553e-03,7.795895640228451e-04,1.541098220184584e-05,0.000000000000000e+00,2.520317576863861e-06,1.820171989646581e-06,4.358454859177221e-07,2.022012812926055e-07,0.000000000000000e+00
7.800782180187925e+00,2.792816716390388e-03,2.367366016964233e-03,7.634779299509881e-04,1.508938922442620e-05,0.000000000000000e+00,2.473483384454474e-06,1.784549757121509e-06,4.271714341865738e-07,1.979245984790022e-07,0.000000000000000e+00
7.946102875323578e+00,2.734588075931296e-03,2.317401757375802e-03,7.476687214993412e-04,1.477379353865125e-05,0.000000000000000e+00,2.427505922057022e-06,1.749591740772530e-06,4.186596024236731e-07,1.937279172821699e-07,0.000000000000000e+00
8.094130748271265e+00,2.677332995331137e-03,2.268294664808900e-03,7.321564676901639e-04,1.446470616357416e-05,0.000000000000000e+00,2.382369525485591e-06,1.715285785236654e-06,4.103070672117594e-07,1.896051262278478e-07,0.000000000000000e+00
8.244916231020035e+00,2.621235831365756e-03,2.219991957476911e-03,7.169357967583169e-04,1.415745894769939e-05,0.000000000000000e+00,2.338058817098779e-06,1.681619957311152e-06,4.021109638587590e-07,1.855665707064237e-07,0.000000000000000e+00
8.398510695055974e+00,2.566232796841030e-03,2.172809629828508e-03,7.020014481149588e-04,1.385396334213679e-05,0.000000000000000e+00,2.294558700560642e-06,1.648582541888296e-06,3.940685333573564e-07,1.816037167532463e-07,0.000000000000000e+00
8.554966468864075e+00,2.512151108809157e-03,2.126438451604293e-03,6.873482555191590e-04,1.357176539456022e-05,0.000000000000000e+00,2.251854355697468e-06,1.616162037964421e-06,3.861769952036037e-07,1.777107822025731e-07,0.000000000000000e+00
8.714336855756173e+00,2.459165095693575e-03,2.080828457399552e-03,6.729711606418023e-04,1.328562435915699e-05,0.000000000000000e+00,2.209931233448646e-06,1.584347154721938e-06,3.784336539313377e-07,1.738975479943638e-07,0.000000000000000e+00
8.876676152030976e+00,2.407214551637197e-03,2.036278297543406e-03,6.588651947897645e-04,1.300577192721812e-05,0.000000000000000e+00,2.168775050909888e-06,1.553126807682960e-06,3.708358867126136e-07,1.701559482302956e-07,0.000000000000000e+00
9.042039665472412e+00,2.356136468734012e-03,1.992495676402303e-03,6.450254969258759e-04,1.273166003517900e-05,5.209571029990912e-06,2.128371786467145e-06,1.522490114933263e-06,3.633810542335699e-07,1.664805148958730e-07,0.000000000000000e+00
