# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.019618983751831e+00,7.938696111726088e-05,5.455509385507714e-05,2.697162324643928e-05,4.253061302730020e-07,0.000000000000000e+00,0.000000000000000e+00,9.320730227958544e-08,1.901955111280863e-08,5.986073282963020e-09,0.000000000000000e+00
1.033804149327065e+00,8.193960781571878e-05,5.631923367300187e-05,2.783514773942044e-05,4.390286637805339e-07,0.000000000000000e+00,0.000000000000000e+00,9.613029308218891e-08,1.962154437183692e-08,6.178742515149327e-09,0.000000000000000e+00
1.048186662073746e+00,8.455980535014103e-05,5.813042441692497e-05,2.872136638072342e-05,4.531172153026582e-07,0.000000000000000e+00,0.000000000000000e+00,9.912697041333717e-08,2.023900358608828e-08,6.376527143113145e-09,0.000000000000000e+00
1.062769267529517e+00,8.724941950471069e-05,5.998997884666434e-05,2.963090078561958e-05,4.675820165945330e-07,0.000000000000000e+00,0.000000000000000e+00,1.021992323386363e-07,2.087233876807053e-08,6.579569260241337e-09,0.000000000000000e+00
1.077554749428553e+00,9.001036100015402e-05,6.189860798959610e-05,3.056438723644671e-05,4.824335522917784e-07,0.000000000000000e+00,0.000000000000000e+00,1.053490154726110e-07,2.152196889850109e-08,6.788014391946927e-09,0.000000000000000e+00
1.092545930232954e+00,9.284458681449406e-05,6.385577534066586e-05,3.152247710482127e-05,4.976825665858711e-07,0.000000000000000e+00,0.000000000000000e+00,1.085782958947108e-07,2.218832216255449e-08,7.002011649268441e-09,0.000000000000000e+00
1.107745671671541e+00,9.575410057639435e-05,6.586510069062499e-05,3.250583727653288e-05,5.133400679958775e-07,0.000000000000000e+00,0.000000000000000e+00,1.118890900498408e-07,2.287183618519949e-08,7.221713808069508e-09,0.000000000000000e+00
1.123156875286139e+00,9.874095476487578e-05,6.792824353895843e-05,3.351515057970355e-05,5.294173380404285e-07,0.000000000000000e+00,0.000000000000000e+00,1.152834556344156e-07,2.357295826592235e-08,7.447277411192383e-09,0.000000000000000e+00
1.138782482985469e+00,1.018072530119360e-04,7.004668682432890e-05,3.455111621673335e-05,5.459259460997258e-07,0.000000000000000e+00,0.000000000000000e+00,1.187634924686803e-07,2.429214561308362e-08,7.678862874578243e-09,0.000000000000000e+00
1.154625477606739e+00,1.049551506119367e-04,7.222195026509393e-05,3.561445020050166e-05,5.628777526613672e-07,0.000000000000000e+00,0.000000000000000e+00,1.223313433558081e-07,2.502986557811382e-08,7.916634594793593e-09,0.000000000000000e+00
1.170688883485048e+00,1.081868559315269e-04,7.445559184796898e-05,3.670588579524706e-05,5.802849173453006e-07,0.000000000000000e+00,0.000000000000000e+00,1.259891949280639e-07,2.578659588971384e-08,8.160761058075905e-09,0.000000000000000e+00
1.186975767030719e+00,1.115046318139911e-04,7.674920953992380e-05,3.782617396250715e-05,5.981599041920863e-07,0.000000000000000e+00,0.000000000000000e+00,1.297392784801361e-07,2.656282488819085e-08,8.411414951003482e-09,0.000000000000000e+00
1.203489237314653e+00,1.149107959055163e-04,7.910444185448539e-05,3.897608381246316e-05,6.165154897007315e-07,0.000000000000000e+00,0.000000000000000e+00,1.335838707895438e-07,2.735905176002769e-08,8.668773272887101e-09,0.000000000000000e+00
1.220232446661837e+00,1.184077231418279e-04,8.152296888991541e-05,4.015640306100103e-05,6.353647801706984e-07,0.000000000000000e+00,0.000000000000000e+00,1.375252949238607e-07,2.817578677275482e-08,8.933017449974883e-09,0.000000000000000e+00
1.237208591253103e+00,1.219978482705121e-04,8.400651339136865e-05,4.136793849277033e-05,6.547212150722182e-07,0.000000000000000e+00,0.000000000000000e+00,1.415659210343284e-07,2.901355151016390e-08,9.204333451556078e-09,0.000000000000000e+00
1.254420911735259e+00,1.256836663733912e-04,8.655684122862994e-05,4.261151643049620e-05,6.745985757155552e-07,0.000000000000000e+00,0.000000000000000e+00,1.457081671352774e-07,2.987287910787829e-08,9.482911884466085e-09,0.000000000000000e+00
1.271872693839712e+00,1.294677343938197e-04,8.917576343806306e-05,4.388798321077321e-05,6.950109937636758e-07,0.000000000000000e+00,0.000000000000000e+00,1.499544998686211e-07,3.075431448926827e-08,9.768948131144309e-09,0.000000000000000e+00
