# energy,pi_pi,pi0_pi0
1.497833475552512e+00,2.103224073573224e-04,0.000000000000000e+00
1.516250109933994e+00,2.157453412171760e-04,0.000000000000000e+00
1.534893186324870e+00,2.212969417702049e-04,0.000000000000000e+00
1.553765488946325e+00,2.269802259980927e-04,0.000000000000000e+00
1.572869836252979e+00,2.327982782282519e-04,0.000000000000000e+00
1.592209081353805e+00,2.387542515679703e-04,0.000000000000000e+00
1.611786112438220e+00,2.448513693636057e-04,0.000000000000000e+00
1.631603853207416e+00,2.510929266851576e-04,0.000000000000000e+00
1.651665263311002e+00,2.574822918365319e-04,0.000000000000000e+00
1.671973338789000e+00,2.640229078918064e-04,0.000000000000000e+00
1.692531112519290e+00,2.707182942577948e-04,0.000000000000000e+00
1.713341654670548e+00,2.775720482631979e-04,0.000000000000000e+00
1.734408073160755e+00,2.845878467746162e-04,0.000000000000000e+00
1.755733514121346e+00,2.917694478396883e-04,0.000000000000000e+00
1.777321162367063e+00,2.991206923576105e-04,0.000000000000000e+00
1.799174241871585e+00,3.066455057772721e-04,0.000000000000000e+00
1.821296016249011e+00,3.143478998232362e-04,0.000000000000000e+00
1.843689789241255e+00,3.222319742497728e-04,0.000000000000000e+00
1.866358905211442e+00,3.303019186231421e-04,0.000000000000000e+00
1.889306749643363e+00,3.385620141323023e-04,0.000000000000000e+00
1.912536749647076e+00,3.470166354282094e-04,0.000000000000000e+00
1.936052374470727e+00,3.556702524918429e-04,0.000000000000000e+00
1.959857136018652e+00,3.645274325310864e-04,0.000000000000000e+00
1.983954589375861e+00,3.735928419065599e-04,0.000000000000000e+00
2.008348333338968e+00,3.828712480864851e-04,0.000000000000000e+00
2.033042010953643e+00,3.923675216306371e-04,0.000000000000000e+00
2.058039310058682e+00,4.020866382034141e-04,0.000000000000000e+00
2.083343963836758e+00,4.120336806160273e-04,0.000000000000000e+00
2.108959751371948e+00,4.222138408977842e-04,0.000000000000000e+00
2.134890498214116e+00,4.326324223964192e-04,0.000000000000000e+00
2.161140076950234e+00,4.432948419073708e-04,0.000000000000000e+00
2.187712407782724e+00,4.542066318318985e-04,0.000000000000000e+00
2.214611459114918e+00,4.653734423638786e-04,0.000000000000000e+00
2.241841248143712e+00,4.768010437050871e-04,0.000000000000000e+00
2.269405841459506e+00,4.884953283087355e-04,0.000000000000000e+00
2.297309355653526e+00,5.004623131509926e-04,0.000000000000000e+00
2.325555957932610e+00,5.127081420301642e-04,0.000000000000000e+00
2.354149866741547e+00,5.252390878931778e-04,0.000000000000000e+00
2.383095352393081e+00,5.380615551889492e-04,0.000000000000000e+00
2.412396737705652e+00,5.511820822481734e-04,0.000000000000000e+00
2.442058398648979e+00,5.646073436890160e-04,0.000000000000000e+00
2.472084764997585e+00,5.783441528481305e-04,0.000000000000000e+00
2.502480320992352e+00,5.923994642363651e-04,0.000000000000000e+00
2.533249606010213e+00,6.067803760184556e-04,0.000000000000000e+00
2.564397215242082e+00,6.214941325159420e-04,0.000000000000000e+00
2.595927800379114e+00,6.365481267324628e-04,0.000000000000000e+00
2.627846070307399e+00,6.519499029005260e-04,0.000000000000000e+00
2.660156791811212e+00,6.677071590487580e-04,0.000000000000000e+00
2.692864790284895e+00,6.838277495885629e-04,0.000000000000000e+00
2.725974950453500e+00,7.003196879190376e-04,0.000000000000000e+00
2.759492217102292e+00,7.171911490488867e-04,0.000000000000000e+00
2.793421595815216e+00,7.344504722340080e-04,0.000000000000000e+00
2.827768153722454e+00,7.521061636292938e-04,0.000000000000000e+00
2.862537020257163e+00,7.701668989531133e-04,0.000000000000000e+00
2.897733387921524e+00,7.886415261628108e-04,0.000000000000000e+00
2.933362513062206e+00,8.075390681394597e-04,0.000000000000000e+00
2.969429716655371e+00,8.268687253799756e-04,0.000000000000000e+00
3.005940385101325e+00,8.466398786945685e-04,0.000000000000000e+00
3.042899971028941e+00,8.668620919073990e-04,0.000000000000000e+00
3.080313994109971e+00,8.875451145581305e-04,0.000000000000000e+00
3.118188041883379e+00,9.086988846019663e-04,0.000000000000000e+00
3.156527770589796e+00,9.303335311055692e-04,0.000000000000000e+00
3.195338906016251e+00,9.524593769361300e-04,0.000000000000000e+00
3.234627244351271e+00,9.750869414406694e-04,0.000000000000000e+00
3.274398653050508e+00,9.982269431124855e-04,0.000000000000000e+00
3.314659071713006e+00,1.021890302241492e-03,0.000000000000000e+00
3.355414512968237e+00,1.046088143544960e-03,0.000000000000000e+00
3.396671063374055e+00,1.070831798775043e-03,0.000000000000000e+00
3.438434884325676e+00,1.096132809299173e-03,0.000000000000000e+00
3.480712212975845e+00,1.122002928649275e-03,0.000000000000000e+00
3.523509363166315e+00,1.148454125035466e-03,0.000000000000000e+00
3.566832726370776e+00,1.175498583819683e-03,0.000000000000000e+00
3.610688772649381e+00,1.203148709944440e-03,0.000000000000000e+00
3.655084051615006e+00,1.231417130311641e-03,0.000000000000000e+00
3.700025193411391e+00,1.260316696106111e-03,0.000000000000000e+00
3.745518909703313e+00,1.289860485058221e-03,0.000000000000000e+00
3.791571994678923e+00,1.320061803639665e-03,0.000000000000000e+00
3.838191326064416e+00,1.350934189186188e-03,0.000000000000000e+00
3.885383866151175e+00,1.382491411940656e-03,0.000000000000000e+00
3.933156662835546e+00,1.414747477009612e-03,0.000000000000000e+00
3.981516850671388e+00,1.447716626226024e-03,0.000000000000000e+00
4.030471651935577e+00,1.481413339910620e-03,0.000000000000000e+00
4.080028377706608e+00,1.515852338523786e-03,0.000000000000000e+00
4.130194428956448e+00,1.551048584199606e-03,0.000000000000000e+00
4.180977297655831e+00,1.587017282153213e-03,0.000000000000000e+00
4.232384567893131e+00,1.623773881952158e-03,0.000000000000000e+00
4.284423917006998e+00,1.661334078642073e-03,0.000000000000000e+00
4.337103116732914e+00,1.699713813716382e-03,0.000000000000000e+00
4.390430034363855e+00,1.738929275919380e-03,0.000000000000000e+00
4.444412633925218e+00,1.778996901871401e-03,0.000000000000000e+00
