# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
9.272606114112828e-01,9.713712874416229e-05,0.000000000000000e+00,2.491130497637424e-06,1.046687130497911e-08,0.000000000000000e+00,1.515121314340113e-08
9.396205768187356e-01,1.002692148200869e-04,0.000000000000000e+00,2.570818912704913e-06,1.080556169753084e-08,0.000000000000000e+00,1.563296763460876e-08
9.521452949860850e-01,1.034800845519160e-04,0.000000000000000e+00,2.652479391292399e-06,1.115283191539418e-08,0.000000000000000e+00,1.612649354414333e-08
9.648369619932552e-01,1.067719059194130e-04,0.000000000000000e+00,2.736165119043243e-06,1.150892004010596e-08,0.000000000000000e+00,1.663210319842981e-08
9.776978031929242e-01,1.101468944565728e-04,0.000000000000000e+00,2.821930388040560e-06,1.187406946627763e-08,0.000000000000000e+00,1.715011513005066e-08
9.907300736007170e-01,1.136073149303932e-04,0.000000000000000e+00,2.909830635119153e-06,1.224852916349289e-08,0.000000000000000e+00,1.768085428878851e-08
1.003936058290599e+00,1.171554830113290e-04,0.000000000000000e+00,2.999922479748433e-06,1.263255381544514e-08,0.000000000000000e+00,1.822465224906094e-08
1.017318072795540e+00,1.207937669401811e-04,0.000000000000000e+00,3.092263761600848e-06,1.302640400796102e-08,0.000000000000000e+00,1.878184741440949e-08
1.030878463513520e+00,1.245245891956479e-04,0.000000000000000e+00,3.186913577906281e-06,1.343034641548643e-08,0.000000000000000e+00,1.935278521961669e-08
1.044619608118942e+00,1.283504281663098e-04,0.000000000000000e+00,3.283932320680707e-06,1.384465399971204e-08,0.000000000000000e+00,1.993781833094941e-08
1.058543915979540e+00,1.322738198304332e-04,0.000000000000000e+00,3.383381713907043e-06,1.426960615983312e-08,0.000000000000000e+00,2.053730684496102e-08
1.072653828578830e+00,1.362973594466434e-04,0.000000000000000e+00,3.485324850737044e-06,1.470548894653029e-08,0.000000000000000e+00,2.115161848622728e-08
1.086951819944200e+00,1.404237032582322e-04,0.000000000000000e+00,3.589826230775226e-06,1.515259532473120e-08,0.000000000000000e+00,2.178112880434150e-08
1.101440397080708e+00,1.446555702136149e-04,0.000000000000000e+00,3.696951797499019e-06,1.561122532173071e-08,0.000000000000000e+00,2.242622137044974e-08
1.116122100410658e+00,1.489957437052377e-04,0.000000000000000e+00,3.806768975863188e-06,1.608168622729625e-08,0.000000000000000e+00,2.308728797356855e-08
1.130999504219037e+00,1.534470733290516e-04,0.000000000000000e+00,3.919346710131407e-06,1.656429279683568e-08,0.000000000000000e+00,2.376472881689220e-08
1.146075217104886e+00,1.580124766665012e-04,0.000000000000000e+00,4.034755501973074e-06,1.705936745757223e-08,0.000000000000000e+00,2.445895271426643e-08
1.161351882438697e+00,1.626949410908422e-04,0.000000000000000e+00,4.153067448859290e-06,1.756724051794477e-08,0.000000000000000e+00,2.517037728697664e-08
1.176832178825897e+00,1.674975255994692e-04,0.000000000000000e+00,4.274356282788182e-06,1.808825033472310e-08,0.000000000000000e+00,2.589942916097382e-08
1.192518820576512e+00,1.724233626738338e-04,0.000000000000000e+00,4.398697409366413e-06,1.862274356344063e-08,0.000000000000000e+00,2.664654416463798e-08
1.208414558181099e+00,1.774756601684315e-04,0.000000000000000e+00,4.526167947270579e-06,1.917107544029003e-08,0.000000000000000e+00,2.741216752715760e-08
1.224522178793009e+00,1.826577032302544e-04,0.000000000000000e+00,4.656846768109482e-06,1.973360995607696e-08,0.000000000000000e+00,2.819675407758354e-08
1.240844506717091e+00,1.879728562500292e-04,0.000000000000000e+00,4.790814536705647e-06,2.031072008454996e-08,0.000000000000000e+00,2.900076844459773e-08
1.257384403904904e+00,1.934245648464952e-04,0.000000000000000e+00,4.928153751812111e-06,2.090278801408377e-08,0.000000000000000e+00,2.982468525701857e-08
1.274144770456527e+00,1.990163578849173e-04,0.000000000000000e+00,5.068948787278254e-06,2.151020538625471e-08,0.000000000000000e+00,3.066898934504965e-08
1.291128545129066e+00,2.047518495309706e-04,0.000000000000000e+00,5.213285933676394e-06,2.213337353828972e-08,0.000000000000000e+00,3.153417594226066e-08
