# energy,dnde
5.032226221487895e+00,2.242449382879425e-03
5.099199540334791e+00,2.293040530782559e-03
5.167064199363933e+00,2.344588192390948e-03
5.235832061319086e+00,2.397101879124636e-03
5.305515146823903e+00,2.450590705340731e-03
5.376125636483134e+00,2.505063351324209e-03
5.447675873011788e+00,2.560528024220108e-03
5.520178363392652e+00,2.616992416808795e-03
5.593645781062503e+00,2.674463664021580e-03
5.668090968127428e+00,2.732948297089396e-03
5.743526937607628e+00,2.792452195212536e-03
5.819966875712078e+00,2.852980534634383e-03
5.897424144143502e+00,2.914537734997003e-03
5.975912282433978e+00,2.977127402850934e-03
6.055445010311659e+00,3.040752272185991e-03
6.136036230098981e+00,3.105414141843969e-03
6.217700029142780e+00,3.171113809667956e-03
6.300450682276773e+00,3.237851003236746e-03
6.384302654316794e+00,3.305624307025946e-03
6.469270602589241e+00,3.374431085830638e-03
6.555369379493187e+00,3.444267404277094e-03
6.642614035096559e+00,3.515127942243556e-03
6.731019819766916e+00,3.587005906002183e-03
6.820602186837197e+00,3.659892934886124e-03
6.911376795306972e+00,3.733779003277038e-03
7.003359512579620e+00,3.808652317699585e-03
7.096566417235975e+00,3.884499208800032e-03
7.191013801844846e+00,3.961304017976470e-03
7.286718175810964e+00,4.039048978418061e-03
7.383696268260826e+00,4.117714090300181e-03
7.481965030966936e+00,4.197213985775446e-03
7.581541641310999e+00,4.275970537371519e-03
7.682443505286502e+00,4.353307491922821e-03
7.784688260541301e+00,4.429186816141802e-03
7.888293779460676e+00,4.503592514558324e-03
7.993278172291409e+00,4.576498914647746e-03
8.099659790307483e+00,4.647857207062375e-03
8.207457229017869e+00,4.717685983580169e-03
8.316689331417027e+00,4.785920127784682e-03
8.427375191278644e+00,4.852539835660059e-03
8.539534156493257e+00,4.917540425081158e-03
8.653185832450239e+00,4.980870622198219e-03
8.768350085464837e+00,5.042515297164971e-03
8.885047046250799e+00,5.102451616916187e-03
9.003297113439208e+00,5.160630553714477e-03
9.123120957144195e+00,5.217052145073557e-03
