# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
1.074347201437190e+00,6.152878646285287e-05,1.528106846132810e-05,8.294449320511232e-06,0.000000000000000e+00,2.127633309632019e-06,8.995143553899046e-07,0.000000000000000e+00
1.087735746501506e+00,6.326108943398384e-05,1.571375717511648e-05,8.530880943474137e-06,6.317086775619438e-08,2.188032783499659e-06,9.251428676529236e-07,0.000000000000000e+00
1.101291139991265e+00,6.503446031289964e-05,1.615681301110647e-05,8.773046154002753e-06,6.596750446553963e-08,2.249886206929481e-06,9.513923687582769e-07,0.000000000000000e+00
1.115015461176242e+00,6.684989977107820e-05,1.661049239823069e-05,9.021089130353248e-06,6.879899294027460e-08,2.313229776733809e-06,9.782784568789564e-07,0.000000000000000e+00
1.128910815238129e+00,6.870843021392115e-05,1.707505750487648e-05,9.275157381328556e-06,7.166576750408056e-08,2.378100510138690e-06,1.005817089758305e-06,0.000000000000000e+00
1.142979333593453e+00,7.061109631199926e-05,1.755077638455203e-05,9.535401833972310e-06,7.456826789319273e-08,2.444536265919539e-06,1.034024594155409e-06,0.000000000000000e+00
1.157223174220511e+00,7.255896553788096e-05,1.803792312349367e-05,9.801976922664764e-06,7.750693932385166e-08,2.512575765841532e-06,1.062917675439909e-06,0.000000000000000e+00
1.171644521990391e+00,7.455312870896004e-05,1.853677799033804e-05,1.007504067970075e-05,8.048223256059519e-08,2.582258616423260e-06,1.092513427344826e-06,0.000000000000000e+00
1.186245589002101e+00,7.659470053666398e-05,1.904762758797559e-05,1.035475482742654e-05,8.349460398540163e-08,2.653625331041222e-06,1.122829341885625e-06,0.000000000000000e+00
1.201028614921892e+00,7.868482018239758e-05,1.957076500769591e-05,1.064128487200953e-05,8.654451566769418e-08,2.726717352391904e-06,1.153883319453443e-06,0.000000000000000e+00
1.215995867326798e+00,8.082465182054960e-05,2.010648998572973e-05,1.093480019891253e-05,8.963243543521833e-08,2.801577075327542e-06,1.185693679090139e-06,0.000000000000000e+00
1.231149642052462e+00,8.301538520886696e-05,2.065510906228764e-05,1.123547417014205e-05,9.275883694580209e-08,2.878247870080944e-06,1.218279168952582e-06,0.000000000000000e+00
1.246492263545296e+00,8.525823626647937e-05,2.121693574319101e-05,1.154348422333845e-05,9.592419976001060e-08,2.956774105894322e-06,1.251658976973431e-06,0.000000000000000e+00
1.262026085219027e+00,8.755444765983782e-05,2.179229066418718e-05,1.185901197277443e-05,9.912900941470627e-08,3.037201175066527e-06,1.285852741725468e-06,0.000000000000000e+00
1.277753489815692e+00,8.990528939681195e-05,2.238150175803683e-05,1.218224331232691e-05,1.023737574975256e-07,3.119575517432688e-06,1.320880563496430e-06,0.000000000000000e+00
1.293676889771125e+00,9.231205942917423e-05,2.298490442445935e-05,1.251336852048643e-05,1.056589417222840e-07,3.203944645289899e-06,1.356763015581149e-06,0.000000000000000e+00
1.309798727585004e+00,9.477608426368406e-05,2.360284170301776e-05,1.285258236746758e-05,1.089850660053205e-07,3.290357168782275e-06,1.393521155797756e-06,0.000000000000000e+00
1.326121476195506e+00,9.729871958196815e-05,2.423566444902421e-05,1.320008422448308e-05,1.123526405427938e-07,3.378862821758419e-06,1.431176538234585e-06,0.000000000000000e+00
1.342647639358634e+00,9.988135086938161e-05,2.488373151254249e-05,1.355607817524377e-05,1.157621818889413e-07,3.469512488114093e-06,1.469751225234382e-06,0.000000000000000e+00
1.359379752032268e+00,1.025253940530192e-04,2.554740992056411e-05,1.392077312974640e-05,1.192142130353139e-07,3.562358228632714e-06,1.509267799622384e-06,0.000000000000000e+00
1.376320380765006e+00,1.052322961490339e-04,2.622707506243085e-05,1.429438294041103e-05,1.227092634909982e-07,3.657453308336019e-06,1.549749377184793e-06,0.000000000000000e+00
1.393472124089844e+00,1.080035359194063e-04,2.692311087857601e-05,1.467712652062943e-05,1.262478693638375e-07,3.754852224357173e-06,1.591219619404137e-06,0.000000000000000e+00
1.410837612922772e+00,1.108406245382985e-04,2.763591005265438e-05,1.506922796578613e-05,1.298305734426664e-07,3.854610734348438e-06,1.633702746458036e-06,0.000000000000000e+00
1.428419510966328e+00,1.137451062681106e-04,2.836587420712955e-05,1.547091667681378e-05,1.334579252805692e-07,3.956785885435313e-06,1.677223550487869e-06,0.000000000000000e+00
1.446220515118187e+00,1.167185591453490e-04,2.911341410238575e-05,1.588242748634447e-05,1.371304812791763e-07,4.061436043729041e-06,1.721807409143844e-06,0.000000000000000e+00
1.464243355884837e+00,1.197625956764018e-04,2.987894983943015e-05,1.630400078751914e-05,1.408488047740106e-07,4.168620924409261e-06,1.767480299412995e-06,0.000000000000000e+00
1.482490797800416e+00,1.228788635433055e-04,3.066291106624971e-05,1.673588266551719e-05,1.446134661208985e-07,4.278401622388425e-06,1.814268811736674e-06,0.000000000000000e+00
1.500965639850763e+00,1.260690463195748e-04,3.146573718788564e-05,1.717832503186911e-05,1.484250427834565e-07,4.390840643569597e-06,1.862200164424080e-06,0.000000000000000e+00
1.519670715902759e+00,1.293348641961550e-04,3.228787758028765e-05,1.763158576161481e-05,1.522841194216689e-07,4.506001936709172e-06,1.911302218368472e-06,0.000000000000000e+00
1.538608895139014e+00,1.326780747175435e-04,3.312979180800793e-05,1.809592883337142e-05,1.561912879815694e-07,4.623950925895927e-06,1.961603492072683e-06,0.000000000000000e+00
1.557783082497969e+00,1.361004735281151e-04,3.399194984579426e-05,1.857162447237411e-05,1.601471477860399e-07,4.744754543657791e-06,2.013133176990639e-06,0.000000000000000e+00
1.577196219119494e+00,1.396038951286716e-04,3.487483230413994e-05,1.905894929655466e-05,1.641523056267405e-07,4.868481264707676e-06,2.065921153191631e-06,0.000000000000000e+00
1.596851282796025e+00,1.431902136432235e-04,3.577893065884720e-05,1.955818646572229e-05,1.682073758571863e-07,4.995201140339613e-06,2.119998005354085e-06,0.000000000000000e+00
1.616751288429330e+00,1.468613435959954e-04,3.670474748465885e-05,2.006962583391274e-05,1.723129804869835e-07,5.124985833486378e-06,2.175395039095710e-06,0.000000000000000e+00
1.636899288492969e+00,1.506192406986360e-04,3.765279669301188e-05,2.059356410497118e-05,1.764697492772389e-07,5.257908654449710e-06,2.232144297646887e-06,0.000000000000000e+00
1.657298373500514e+00,1.544659026475946e-04,3.862360377396550e-05,2.113030499143602e-05,1.806783198371606e-07,5.394044597314272e-06,2.290278578874245e-06,0.000000000000000e+00
1.677951672479603e+00,1.584033699316100e-04,3.961770604235328e-05,2.168015937679060e-05,1.849393377218599e-07,5.533470377056207e-06,2.349831452661414e-06,0.000000000000000e+00
1.698862353451904e+00,1.624337266492483e-04,4.063565288820938e-05,2.224344548115105e-05,1.892534565313747e-07,5.676264467357313e-06,2.410837278654058e-06,0.000000000000000e+00
1.720033623919062e+00,1.665591013363974e-04,4.167800603151499e-05,2.282048903045854e-05,1.936213380109245e-07,5.822507139135593e-06,2.473331224376223e-06,0.000000000000000e+00
1.741468731354696e+00,1.707816678036166e-04,4.274533978131100e-05,2.341162342924536e-05,1.980436521524168e-07,5.972280499802933e-06,2.537349283725248e-06,0.000000000000000e+00
1.763170963702534e+00,1.751036459832197e-04,4.383824129922000e-05,2.401718993704471e-05,2.025210772972165e-07,6.125668533260518e-06,2.602928295852442e-06,0.000000000000000e+00
1.785143649880752e+00,1.795273027859484e-04,4.495731086741887e-05,2.463753784851479e-05,2.070543002401985e-07,6.282757140642575e-06,2.670105964436806e-06,0.000000000000000e+00
1.807390160292594e+00,1.840549529670690e-04,4.610316216110118e-05,2.527302467734816e-05,2.116440163350939e-07,6.443634181818695e-06,2.738920877359160e-06,0.000000000000000e+00
