# energy,pi_pi_pi0,pi_pi_a,mu_mu
1.258180288806027e+00,3.629202954002202e-05,7.532919787289857e-06,1.679070651798840e-09
1.274024902540513e+00,3.728988271713696e-05,7.739512893695247e-06,1.724582097913276e-09
1.290069051895314e+00,3.831225707314279e-05,7.951160633195710e-06,1.771184184127565e-09
1.306315249677902e+00,3.935976039849878e-05,8.167987482394328e-06,1.818902927762254e-09
1.322766040340229e+00,4.043301483604811e-05,8.390120823993544e-06,1.867764918726953e-09
1.339424000377241e+00,4.153265722715321e-05,8.617691015653524e-06,1.917797331787514e-09
1.356291738730397e+00,4.265933946472247e-05,8.850831460160682e-06,1.969027939001170e-09
1.373371897196280e+00,4.381372885331071e-05,9.089678676939507e-06,2.021485122322178e-09
1.390667150840353e+00,4.499650847647393e-05,9.334372374940362e-06,2.075197886380220e-09
1.408180208415920e+00,4.620837757155895e-05,9.585055526935665e-06,2.130195871433576e-09
1.425913812788367e+00,4.745005191210711e-05,9.841874445256293e-06,2.186509366498717e-09
1.443870741364748e+00,4.872226419805060e-05,1.010497885899992e-05,2.244169322657732e-09
1.462053806528772e+00,5.002576445387998e-05,1.037452199274264e-05,2.303207366544712e-09
1.480465856081279e+00,5.136132043496142e-05,1.065066064678488e-05,2.363655814011913e-09
1.499109773686253e+00,5.272971804218131e-05,1.093355527896260e-05,2.425547683976227e-09
1.517988479322464e+00,5.413176174509752e-05,1.122337008805430e-05,2.488916712446224e-09
1.537104929740781e+00,5.556827501377518e-05,1.152027309881442e-05,2.553797366729669e-09
1.556462118927260e+00,5.704010075948633e-05,1.182443624866316e-05,2.620224859821159e-09
1.576063078572054e+00,5.854810178445309e-05,1.213603547606316e-05,2.688235164969202e-09
1.595910878544232e+00,6.009316124081355e-05,1.245525081061250e-05,2.757865030421669e-09
1.616008627372576e+00,6.167618309899138e-05,1.278226646488409e-05,2.829151994348302e-09
1.636359472732436e+00,6.329809262564965e-05,1.311727092804069e-05,2.902134399938528e-09
1.656966601938710e+00,6.495983687141064e-05,1.346045706125509e-05,2.976851410672502e-09
1.677833242445038e+00,6.666238516852311e-05,1.381202219496435e-05,3.053343025762904e-09
1.698962662349278e+00,6.840672963866003e-05,1.417216822798711e-05,3.131650095764622e-09
1.720358170905357e+00,7.019388571102991e-05,1.454110172853254e-05,3.211814338349043e-09
1.742023119041549e+00,7.202489265098412e-05,1.491903403712927e-05,3.293878354239191e-09
1.763960899885303e+00,7.390081409930591e-05,1.530618137150244e-05,3.377885643301593e-09
1.786174949294663e+00,7.582273862236365e-05,1.570276493342653e-05,3.463880620790166e-09
1.808668746396385e+00,7.779178027331410e-05,1.610901101758146e-05,3.551908633736998e-09
1.831445814130837e+00,7.980907916453968e-05,1.652515112243882e-05,3.642015977484329e-09
1.854509719803753e+00,8.187580205150527e-05,1.695142206320515e-05,3.734249912351535e-09
1.877864075644938e+00,8.399314292821884e-05,1.738806608684803e-05,3.828658680430284e-09
1.901512539374009e+00,8.616232363448097e-05,1.783533098923089e-05,3.925291522500493e-09
1.925458814773264e+00,8.838459447510812e-05,1.829347023438161e-05,4.024198695059045e-09
1.949706652267757e+00,9.066123485131279e-05,1.876274307591927e-05,4.125431487452571e-09
1.974259849512690e+00,9.299355390442531e-05,1.924341468066317e-05,4.229042239104920e-09
1.999122251988187e+00,9.538289117213938e-05,1.973575625444702e-05,4.335084356829237e-09
2.024297753601575e+00,9.783061725746338e-05,2.024004517016088e-05,4.443612332213703e-09
2.049790297297234e+00,1.003381345105587e-04,2.075656509804237e-05,4.554681759069359e-09
2.075603875674139e+00,1.029068777236440e-04,2.128560613823780e-05,4.668349350927442e-09
2.101742531611174e+00,1.055383148391445e-04,2.182746495565307e-05,4.784672958572879e-09
2.128210358900315e+00,1.082339476712605e-04,2.238244491711281e-05,4.903711587599622e-09
2.155011502887801e+00,1.109953126411318e-04,2.295085623084566e-05,5.025525415972589e-09
2.182150161123366e+00,1.138239815257680e-04,2.353301608831163e-05,5.150175811579857e-09
2.209630584017654e+00,1.167215622209151e-04,2.412924880838712e-05,5.277725349757885e-09
2.237457075507907e+00,1.196896995180229e-04,2.473988598392075e-05,5.408237830771178e-09
2.265633993732050e+00,1.227300758954795e-04,2.536526663067287e-05,5.541778297226969e-09
2.294165751711243e+00,1.258444123242683e-04,2.600573733864858e-05,5.678413051403859e-09
2.323056818041051e+00,1.290344690882072e-04,2.666165242583414e-05,5.818209672472580e-09
2.352311717591301e+00,1.323020466189175e-04,2.733337409434308e-05,5.961237033585187e-09
2.381935032214763e+00,1.356489863456708e-04,2.802127258897760e-05,6.107565318808073e-09
2.411931401464752e+00,1.390771715602552e-04,2.872572635820851e-05,6.257266039872331e-09
2.442305523321765e+00,1.425885282969954e-04,2.944712221757447e-05,6.410412052713807e-09
2.473062154929274e+00,1.461850262280564e-04,3.018585551549916e-05,6.567077573773230e-09
2.504206113338775e+00,1.498686795741530e-04,3.094233030152274e-05,6.727338196025472e-09
2.535742276264237e+00,1.536415480307828e-04,3.171695949694099e-05,6.891270904704997e-09
2.567675582846031e+00,1.575057377100863e-04,3.251016506784290e-05,7.058954092692844e-09
2.600011034424496e+00,1.614634020984373e-04,3.332237820053453e-05,7.230467575528460e-09
2.632753695323239e+00,1.655167430298528e-04,3.415403947933388e-05,7.405892606007878e-09
2.665908693642298e+00,1.696680116753009e-04,3.500559906671782e-05,7.585311888327348e-09
2.699481222061301e+00,1.739195095479810e-04,3.587751688579939e-05,7.768809591729718e-09
2.733476538652733e+00,1.782735895246323e-04,3.677026280510914e-05,7.956471363608153e-09
2.767899967705443e+00,1.827326568829197e-04,3.768431682565078e-05,8.148384342019658e-09
2.802756900558530e+00,1.872991703549300e-04,3.862016927019737e-05,8.344637167558333e-09
2.838052796445722e+00,1.919756431968041e-04,3.957832097478957e-05,8.545319994535560e-09
2.873793183350395e+00,1.967646442745058e-04,4.055928348239275e-05,8.750524501411599e-09
