# energy,pi_pi,pi0_pi0
1.252705335867658e+01,1.032189171122553e-02,0.000000000000000e+00
1.270099792474543e+01,1.051327565402905e-02,0.000000000000000e+00
1.287735780040054e+01,1.070066187500814e-02,0.000000000000000e+00
1.305616652345531e+01,1.088410202612125e-02,0.000000000000000e+00
1.323745809741289e+01,1.106345038024773e-02,0.000000000000000e+00
1.342126699793252e+01,1.123862633529244e-02,0.000000000000000e+00
1.360762817938566e+01,1.140958281842596e-02,0.000000000000000e+00
1.379657708150317e+01,1.157621602642910e-02,0.000000000000000e+00
1.398814963611477e+01,1.173849384408392e-02,0.000000000000000e+00
1.418238227398207e+01,1.189630582686270e-02,0.000000000000000e+00
1.437931193172649e+01,1.204935210885587e-02,0.000000000000000e+00
1.457897605885343e+01,1.219801324308707e-02,0.000000000000000e+00
1.478141262487388e+01,1.234195091192711e-02,0.000000000000000e+00
1.498666012652496e+01,1.248116712497335e-02,0.000000000000000e+00
1.519475759509080e+01,1.261554273873066e-02,0.000000000000000e+00
1.540574460382488e+01,1.274498205522676e-02,0.000000000000000e+00
1.561966127547566e+01,1.286944599341098e-02,0.000000000000000e+00
1.583654828991654e+01,1.298879860838116e-02,0.000000000000000e+00
1.605644689188186e+01,1.310300146766415e-02,0.000000000000000e+00
1.627939889881024e+01,1.321204291062369e-02,0.000000000000000e+00
1.650544670879692e+01,1.331580772210169e-02,0.000000000000000e+00
1.673463330865647e+01,1.341419904425564e-02,0.000000000000000e+00
