# energy,pi_pi
1.446657120983177e+00,2.090288134723173e-04
1.473606882377380e+00,2.167097521522150e-04
1.501058690613693e+00,2.246693075797770e-04
1.529021898317839e+00,2.329173749816193e-04
1.557506032345515e+00,2.414641885494346e-04
1.586520797028122e+00,2.503203322996786e-04
1.616076077478953e+00,2.594967512341934e-04
1.646181942960981e+00,2.690047628069669e-04
1.676848650317382e+00,2.788560687020790e-04
1.708086647465962e+00,2.890627669276964e-04
1.739906576958686e+00,2.996373642307859e-04
1.772319279607517e+00,3.105927888369675e-04
1.805335798177798e+00,3.219424035196681e-04
1.838967381150437e+00,3.337000190024316e-04
1.873225486554187e+00,3.458799076979003e-04
1.908121785869305e+00,3.584968177865999e-04
1.943668168003940e+00,3.715659876382393e-04
1.979876743344595e+00,3.851031605777649e-04
2.016759847882045e+00,3.991245999978819e-04
2.054330047414116e+00,4.136471048191850e-04
2.092600141826762e+00,4.286880252984079e-04
2.131583169454885e+00,4.442652791845956e-04
2.171292411524400e+00,4.603973682222526e-04
2.211741396677052e+00,4.771033949996755e-04
2.252943905579521e+00,4.944030801397709e-04
2.294913975618390e+00,5.123167798296648e-04
2.337665905682582e+00,5.308655036843249e-04
2.381214261034881e+00,5.500709329382454e-04
2.425573878274211e+00,5.699554389579586e-04
2.470759870390350e+00,5.905421020667566e-04
2.516787631912818e+00,6.118547306715096e-04
2.563672844155672e+00,6.339178806798224e-04
2.611431480560018e+00,6.567568751940436e-04
2.660079812136041e+00,6.803978244667157e-04
2.709634413006413e+00,7.048676461000228e-04
