# energy,pi_pi_eta,pi_rho
4.181415251888322e+00,7.748314950189635e-04,6.327128674168772e-07
4.259310795824738e+00,8.024644292098937e-04,6.554547019631971e-07
4.338657455089249e+00,8.310508355979988e-04,6.789918857695920e-07
4.419482262495148e+00,8.606216922347153e-04,7.033509199791691e-07
4.501812754449739e+00,8.912088644154211e-04,7.285591082791397e-07
4.585676980335793e+00,9.228451222343177e-04,7.546445760333827e-07
4.671103512067758e+00,9.555641578993300e-04,7.816362895055334e-07
4.758121453825993e+00,9.894006027467513e-04,8.095640751401748e-07
4.846760451972356e+00,1.024390043890182e-03,8.384586388664874e-07
4.937050705150487e+00,1.060569040432749e-03,8.683515853851810e-07
5.029022974574263e+00,1.097975139165677e-03,8.992754373958091e-07
5.122708594507916e+00,1.136646889669954e-03,9.312636547175351e-07
5.218139482941381e+00,1.176623858731020e-03,9.643506532521052e-07
5.315348152464515e+00,1.217946643969230e-03,9.985718237331797e-07
5.414367721343894e+00,1.260656886581064e-03,1.033963550201218e-06
5.515231924805961e+00,1.304797283077857e-03,1.070563228137833e-06
5.617975126530360e+00,1.350411595899962e-03,1.108409282187871e-06
5.722632330357391e+00,1.397544662774930e-03,1.147541183391394e-06
5.829239192213553e+00,1.446242404678226e-03,1.187999465841320e-06
5.937832032259250e+00,1.496551832244321e-03,1.229825742675496e-06
6.048447847262800e+00,1.548521050464638e-03,1.273062721304641e-06
6.161124323204961e+00,1.602199261496645e-03,1.317754217769670e-06
6.275899848118253e+00,1.657636765395475e-03,1.363945170113476e-06
6.392813525165484e+00,1.714884958565650e-03,1.411681650643292e-06
6.511905185961898e+00,1.773996329715811e-03,1.461010876950070e-06
6.633215404145512e+00,1.835024453083691e-03,1.511981221541163e-06
6.756785509200250e+00,1.898023978681938e-03,1.564642219931580e-06
6.882657600536588e+00,1.963050619297630e-03,1.619044577027488e-06
7.010874561834508e+00,2.030161133959469e-03,1.675240171623173e-06
