# energy,pi_pi_pi0,pi_pi,mu_mu
2.106218101704481e-01,1.224329886400822e-05,3.169084909022089e-07,1.941112620846025e-09
2.145454818174318e-01,1.270131272741815e-05,3.287302697496104e-07,2.013368612540442e-09
2.185422475052506e-01,1.317641381695491e-05,3.409911655196597e-07,2.088299684187540e-09
2.226134689020779e-01,1.366923693254841e-05,3.537073814146652e-07,2.166004034819167e-09
2.267605330425908e-01,1.418044030366464e-05,3.668957123204545e-07,2.246583419748668e-09
2.309848528005213e-01,1.471070644520134e-05,3.805735660524180e-07,2.330143276533615e-09
2.352878673700128e-01,1.526074304413668e-05,3.947589853433397e-07,2.416792855232946e-09
2.396710427559421e-01,1.583128387800555e-05,4.094706705976477e-07,2.506645353094765e-09
2.441358722733767e-01,1.642308976631410e-05,4.247280034374689e-07,2.599818053814818e-09
2.486838770563357e-01,1.703694955604012e-05,4.405510710666259e-07,2.696432471509365e-09
2.533166065760292e-01,1.767368114240468e-05,4.569606914794912e-07,2.796614499550002e-09
2.580356391687514e-01,1.833413252613950e-05,4.739784395424096e-07,2.900494564411842e-09
2.628425825736078e-01,1.901918290851500e-05,4.916266739762029e-07,3.008207784690310e-09
2.677390744802600e-01,1.972974382543514e-05,5.099285652691108e-07,3.119894135445874e-09
2.727267830868745e-01,2.046676032194793e-05,5.289081245503552e-07,3.235698618039865e-09
2.778074076684648e-01,2.123121216856446e-05,5.485902334553847e-07,3.355771435628721e-09
2.829826791558225e-01,2.202411512082429e-05,5.690006750147342e-07,3.480268174487929e-09
2.882543607252319e-01,2.284652222359153e-05,5.901661655993284e-07,3.609349991341100e-09
2.936242483991709e-01,2.369952516161358e-05,6.121143879559687e-07,3.743183806873639e-09
2.990941716582028e-01,2.458425565792394e-05,6.348740253676804e-07,3.881942505614661e-09
3.046659940642663e-01,2.550188692172021e-05,6.584747969745254e-07,4.025805142374864e-09
3.103416138955776e-01,2.645363514740114e-05,6.829474942914591e-07,4.174957155432234e-09
3.161229647933589e-01,2.744076106649887e-05,7.083240189607716e-07,4.329590586661459e-09
3.220120164206161e-01,2.846457155429799e-05,7.346374217776507e-07,4.489904308807183e-09
3.280107751331879e-01,2.952642129298838e-05,7.619219430283914e-07,4.656104260105071e-09
3.341212846632964e-01,3.062771449325698e-05,7.902130541817971e-07,4.828403686458780e-09
3.403456268158315e-01,3.176990667628240e-05,8.195475009753421e-07,5.007023391384881e-09
3.466859221776056e-01,3.295450651815659e-05,8.499633479386840e-07,5.192191993941523e-09
3.531443308398228e-01,3.418307775882050e-05,8.815000243981715e-07,5.384146194860580e-09
3.597230531340044e-01,3.545724117766354e-05,9.141983720070306e-07,5.583131051106476e-09
3.664243303816270e-01,3.677867663800254e-05,9.481006938469744e-07,5.789400259088685e-09
3.732504456577225e-01,3.814912520272161e-05,9.832508051480227e-07,6.003216446758088e-09
3.802037245687055e-01,3.957039132342386e-05,1.019694085674403e-06,6.224851474820710e-09
3.872865360446898e-01,4.104434510551474e-05,1.057477533825449e-06,6.454586747305461e-09
3.945012931465652e-01,4.257292465170827e-05,1.096649822501453e-06,6.692713531725223e-09
4.018504538881091e-01,4.415813848652133e-05,1.137261356785532e-06,6.939533289073364e-09
4.093365220734140e-01,4.580206806439443e-05,1.179364333493550e-06,7.195358013899994e-09
4.169620481499139e-01,4.750687036415421e-05,1.223012802645232e-06,7.460510584714405e-09
4.247296300773036e-01,4.927478057261086e-05,1.268262730910565e-06,7.735325124961788e-09
4.326419142126435e-01,5.110811486016175e-05,1.315172067086664e-06,8.020147374823716e-09
4.407015962119537e-01,5.300927325135439e-05,1.363800809661180e-06,8.315335074092781e-09
4.489114219486044e-01,5.498074259344330e-05,1.414211076519344e-06,8.621258356372347e-09
4.572741884488138e-01,5.702509962605899e-05,1.466467176852646e-06,8.938300154852247e-09
4.657927448445742e-01,5.914501415519281e-05,1.520635685328052e-06,9.266856619910969e-09
4.744699933443300e-01,6.134325233478683e-05,1.576785518577497e-06,9.607337548793468e-09
4.833088902217385e-01,6.362268005930666e-05,1.634988014068231e-06,9.960166827612246e-09
4.923124468228500e-01,6.598626647076329e-05,1.695317011415320e-06,1.032578288591670e-08
5.014837305920511e-01,6.843708758374018e-05,1.757848936198335e-06,1.070463916407270e-08
5.108258661171197e-01,7.097833003207316e-05,1.822662886344865e-06,1.109720459369013e-08
5.203420361937495e-01,7.361329494092370e-05,1.889840721144089e-06,1.150396409133134e-08
5.300354829099038e-01,7.634540192807667e-05,1.959467152954072e-06,1.192541906572740e-08
5.399095087503706e-01,7.917819323839114e-05,2.031629841666904e-06,1.236208793872221e-08
5.499674777218954e-01,8.211533801542450e-05,2.106419491996019e-06,1.281450668015630e-08
