# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
1.860359241743293e-01,4.389672833315459e-07,9.246281657654359e-07,1.195080793291950e-06,1.020635905107975e-08
1.895015855909343e-01,4.554457313735748e-07,9.593078690618551e-07,1.239914480024814e-06,1.058908375036586e-08
1.930318087802606e-01,4.725422049295049e-07,9.952865246812776e-07,1.286428026502224e-06,1.098613900941389e-08
1.966277964629425e-01,4.902798510983081e-07,1.032612684909924e-06,1.334684255903001e-06,1.139806021007537e-08
2.002907737650851e-01,5.086826820877330e-07,1.071336711057025e-06,1.384748334060758e-06,1.182540266688674e-08
2.040219886356558e-01,5.277756074428029e-07,1.111510840527428e-06,1.436687856431484e-06,1.226874236523098e-08
2.078227122716511e-01,5.475844674689602e-07,1.153189256362049e-06,1.490572938267332e-06,1.272867672660827e-08
2.116942395511842e-01,5.681360678938010e-07,1.196428159335889e-06,1.546476308113507e-06,1.320582540199827e-08
2.156378894746398e-01,5.894582158129337e-07,1.241285842706508e-06,1.604473404749370e-06,1.370083109433125e-08
2.196550056140479e-01,6.115797569671494e-07,1.287822769709167e-06,1.664642477699182e-06,1.421436041112142e-08
2.237469565708287e-01,6.345306143998083e-07,1.336101653898272e-06,1.727064691442417e-06,1.474710474835304e-08
2.279151364420652e-01,6.583418285451111e-07,1.386187542438289e-06,1.791824233458196e-06,1.529978120674845e-08
2.321609652954611e-01,6.830455987997687e-07,1.438147902450947e-06,1.859008426243194e-06,1.587313354158693e-08
2.364858896531474e-01,7.086753266324775e-07,1.492052710529370e-06,1.928707843447380e-06,1.646793314728456e-08
2.408913829845022e-01,7.352656602875794e-07,1.547974545533632e-06,2.001016430276996e-06,1.708498007798784e-08
2.453789462081498e-01,7.628525411413158e-07,1.605988684786323e-06,2.076031628319610e-06,1.772510410547747e-08
2.499501082033131e-01,7.914732517712124e-07,1.666173203790896e-06,2.153854504951473e-06,1.838916581572503e-08
2.546064263306912e-01,8.211664658012872e-07,1.728609079599859e-06,2.234589887493157e-06,1.907805774549123e-08
2.593494869630404e-01,8.519722995880641e-07,1.793380297964380e-06,2.318346502285314e-06,1.979270556040378e-08
2.641809060256396e-01,8.839323658146905e-07,1.860573964401479e-06,2.405237118862444e-06,2.053406927600286e-08
2.691023295468239e-01,9.170898290628952e-07,1.930280419319762e-06,2.495378699408910e-06,2.130314452329388e-08
2.741154342187744e-01,9.514894634350234e-07,2.002593357349610e-06,2.588892553687872e-06,2.210096386040111e-08
2.792219279687543e-01,9.871777123009797e-07,2.077609951028793e-06,2.685904499640566e-06,2.292859813197087e-08
2.844235505409871e-01,1.024202750247598e-06,2.155430978999806e-06,2.786545029860300e-06,2.378715787803016e-08
